Temperature,Vibration,RPM,Pressure,Runtime,Status
52.47,2.86,1531.99,7.19,156.02,2
39.36,0.27,1666.18,7.21,708.07,0
31.24,2.91,1632.44,4.49,181.82,2
41.0,0.98,1324.76,6.02,291.23,0
66.71,0.5,1092.14,5.56,456.07,1
77.11,0.68,1314.23,7.15,46.45,2
66.45,0.59,865.05,9.64,965.63,2
78.5,0.98,897.67,7.79,440.15,2
37.32,1.54,834.39,9.37,258.78,2
69.75,1.0,1320.07,6.83,184.85,1
88.18,2.35,1739.5,9.26,597.9,2
85.31,0.36,995.98,3.32,325.33,2
53.32,0.89,1628.74,5.5,280.93,0
62.56,0.51,1602.2,3.52,986.89,1
76.33,0.68,805.52,8.71,706.86,2
73.74,2.34,874.04,5.51,115.87,2
81.79,1.91,1130.9,3.44,310.98,2
49.51,2.22,1437.56,9.21,472.21,2
37.18,2.17,1560.79,6.93,770.97,2
59.63,1.62,1227.54,3.18,107.89,1
31.89,1.95,1114.36,6.56,907.57,1
44.96,1.29,1555.55,4.6,76.98,1
47.39,0.57,1729.7,8.66,633.4,0
82.29,2.43,986.57,9.25,539.34,2
78.45,2.7,1118.0,3.77,227.94,2
55.63,2.47,1660.73,3.05,510.75,2
55.04,0.74,919.87,5.36,942.91,2
49.39,1.6,1503.02,5.55,971.78,1
87.75,0.83,1297.25,5.11,284.84,2
32.21,1.87,1302.68,3.36,278.65,1
84.5,0.79,944.89,6.43,985.65,2
44.52,2.05,1561.62,4.66,728.22,2
52.07,1.93,1433.53,6.75,90.29,1
80.12,1.03,986.52,3.29,590.89,2
70.65,0.15,1312.09,4.59,645.17,1
40.46,2.1,1186.74,9.56,137.52,2
50.46,0.43,1724.69,9.14,257.94,0
69.6,2.47,1355.2,6.71,241.85,2
35.59,2.7,1700.42,7.43,339.03,2
50.95,2.21,1697.11,9.21,779.88,2
68.52,0.34,961.63,9.29,606.43,2
30.55,0.39,1463.5,3.04,160.81,0
62.92,2.11,1451.96,4.57,712.18,2
44.23,1.04,1546.49,7.55,849.22,0
69.46,1.75,893.67,5.57,265.2,2
44.64,2.92,1193.1,9.24,631.14,2
77.69,1.56,1376.9,6.45,195.24,2
73.35,0.91,824.32,7.52,177.11,2
86.43,2.87,1714.86,5.59,15.46,2
85.7,1.34,1766.65,9.75,853.01,2
47.67,1.22,1651.14,5.22,169.49,1
63.41,2.81,1496.03,6.99,97.18,2
66.9,2.97,940.08,6.63,877.37,2
74.45,2.12,1502.48,5.52,293.59,2
78.56,2.45,1667.07,9.39,511.34,2
60.09,2.42,1449.96,7.91,795.79,2
83.4,1.08,1175.58,3.66,578.28,2
32.16,1.45,1342.64,5.01,590.83,1
31.83,0.21,1622.6,5.52,127.06,0
61.33,2.33,1015.82,7.36,85.35,2
33.1,1.64,1340.64,7.46,726.09,1
88.55,1.6,1122.96,8.57,270.83,2
56.34,0.33,825.35,9.74,835.98,2
71.76,1.29,973.29,4.1,250.24,2
62.95,2.17,1460.2,4.96,954.87,2
74.27,1.71,1411.72,5.94,247.73,1
51.36,2.3,814.39,3.81,46.0,2
32.44,2.58,1503.66,6.32,97.83,2
59.5,1.47,973.2,6.04,398.5,2
66.95,1.94,845.3,5.62,625.86,2
60.19,2.58,1458.69,4.14,70.57,2
68.55,0.18,1385.78,9.58,575.47,1
53.29,1.97,1258.25,6.82,941.46,1
53.17,2.89,1705.35,4.37,69.36,2
36.05,0.15,894.44,7.78,71.19,2
49.14,2.55,823.27,8.7,281.85,2
37.09,2.12,1428.94,9.14,735.07,2
78.21,0.92,977.44,8.25,806.83,2
89.43,1.3,1172.02,8.43,340.8,2
85.85,2.59,1228.99,8.26,754.54,2
36.19,2.72,1305.25,8.79,320.05,2
83.73,1.23,810.84,9.34,91.29,2
49.16,2.86,1750.61,7.01,631.84,2
56.91,0.95,1128.66,7.71,752.37,0
77.49,2.39,891.21,6.46,57.56,2
62.97,1.38,1687.7,5.46,117.07,1
38.58,2.31,1418.22,3.71,84.11,2
72.06,0.31,1621.86,7.94,81.35,1
35.09,2.96,1174.27,5.59,812.8,2
86.83,2.96,1553.38,5.63,83.5,2
76.63,1.72,1224.22,9.34,111.2,2
59.56,0.13,1268.66,3.39,118.82,0
37.05,1.98,1546.04,7.08,962.17,1
52.49,0.93,1668.6,4.57,963.22,0
30.73,2.91,843.16,9.24,527.7,2
89.58,0.31,1353.85,9.79,523.1,2
67.76,2.12,1254.54,7.39,584.31,2
84.07,0.23,1080.96,9.65,890.26,2
57.34,1.9,1077.38,4.32,463.7,1
51.2,1.79,877.73,9.82,986.21,2
71.89,1.65,1109.53,8.7,684.73,1
39.76,2.74,1622.54,9.65,725.72,2
66.8,1.31,1732.73,9.06,45.22,1
31.58,1.19,1610.55,9.91,150.42,0
65.65,1.2,1769.91,8.89,838.33,1
58.12,1.3,1073.41,3.39,864.72,1
78.77,3.0,1796.64,6.89,768.99,2
86.69,2.56,1047.35,6.15,129.16,2
87.24,1.86,1028.64,7.7,618.13,2
51.49,0.43,1471.57,6.64,772.32,0
61.21,2.57,1351.91,6.93,876.65,2
54.21,0.49,828.78,8.29,620.31,2
72.24,0.72,936.37,3.1,350.59,2
65.4,1.24,1237.47,9.33,348.26,1
60.84,2.37,1196.54,7.35,862.36,2
86.97,0.53,1726.59,6.44,258.24,2
57.55,2.94,1292.62,5.3,633.4,2
44.41,0.32,928.88,3.9,151.9,2
38.33,1.96,981.88,5.42,896.79,2
58.44,2.04,972.32,4.35,40.87,2
40.14,0.91,977.01,3.62,120.64,2
57.65,0.7,1164.27,6.52,690.39,0
32.36,2.42,1427.9,3.57,873.58,2
85.25,0.28,1076.88,8.64,748.26,2
41.07,0.71,1170.47,6.39,618.25,0
52.13,1.44,1547.47,3.26,252.44,1
72.8,2.7,1311.68,6.72,107.17,2
56.84,1.64,1042.47,4.88,377.28,1
